#Accession	Name	Function	Category	TC
TIGR01167	LPXTG_anchor	LPXTG cell wall anchor domain	Cell envelope	15.9
TIGR01168	YSIRK_signal	gram-positive signal peptide, YSIRK family	Other	20.2
TIGR01169	rplA_bact	ribosomal protein uL1	Protein synthesis	216.3
TIGR01170	rplA_mito	ribosomal protein uL1, mitochondrial	Protein synthesis	129.05
TIGR01171	rplB_bact	ribosomal protein uL2	Protein synthesis	174.5
TIGR01172	cysE	serine O-acetyltransferase	Amino acid biosynthesis	210.65
TIGR01173	glmU	UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase	Central intermediary metabolism	366.85
TIGR01174	ftsA	cell division protein FtsA	Cellular processes	175.85
TIGR01175	pilM	type IV pilus assembly protein PilM	Other	133
TIGR01176	fum_red_Fp	fumarate reductase (quinol), flavoprotein subunit	Other	932.7
TIGR01177	TIGR01177	putative methyltransferase, TIGR01177 family	Hypothetical proteins	316.55
TIGR01178	ade	adenine deaminase	Purines, pyrimidines, nucleosides, and nucleotides	472.5
TIGR01179	galE	UDP-glucose 4-epimerase GalE	Energy metabolism	262.3
TIGR01180	aman2_put	putative alpha-1,2-mannosidase	Cell envelope	249.55
TIGR01181	dTDP_gluc_dehyt	dTDP-glucose 4,6-dehydratase	Cell envelope	365.1
TIGR01182	eda	2-dehydro-3-deoxyphosphogluconate aldolase/4-hydroxy-2-oxoglutarate aldolase	Energy metabolism	156.05
TIGR01183	ntrB	nitrate ABC transporter, permease protein	Transport and binding proteins	209.05
TIGR01184	ntrCD	nitrate ABC transporter, ATP-binding proteins C and D	Transport and binding proteins	291.8
TIGR01185	devC	ABC exporter transmembrane subunit, DevC protein	Transport and binding proteins	290.35
TIGR01186	proV	glycine betaine/L-proline transport ATP binding subunit	Transport and binding proteins	326.6
TIGR01187	potA	polyamine ABC transporter, ATP-binding protein	Transport and binding proteins	355.6
TIGR01188	drrA	daunorubicin resistance ABC transporter, ATP-binding protein	Transport and binding proteins	312.45
TIGR01189	ccmA	heme ABC exporter, ATP-binding protein CcmA	Transport and binding proteins	131.6
TIGR01190	ccmB	heme exporter protein CcmB	Transport and binding proteins	156.2
TIGR01191	ccmC	heme exporter protein CcmC	Transport and binding proteins	186
TIGR01192	chvA	glucan exporter ATP-binding protein	Transport and binding proteins	585.4
TIGR01193	bacteriocin_ABC	ABC-type bacteriocin transporter	Transport and binding proteins	523.85
TIGR01194	cyc_pep_trnsptr	cyclic peptide transporter	Transport and binding proteins	286.2
TIGR01195	oadG_fam	sodium pump decarboxylases, gamma subunit	Other	36.05
TIGR01196	edd	phosphogluconate dehydratase	Energy metabolism	708.25
TIGR01197	nramp	metal ion transporter, metal ion (Mn2+/Fe2+) transporter (Nramp) family	Transport and binding proteins	272.5
TIGR01198	pgl	6-phosphogluconolactonase	Energy metabolism	124.45
TIGR01200	GLPGLI	GLPGLI family protein	Other	50
TIGR01201	HU_rel	putative DNA-binding protein	DNA metabolism	68.6
TIGR01202	bchC	chlorophyll synthesis pathway protein BchC	Biosynthesis of cofactors, prosthetic groups, and carriers	291.25
TIGR01203	HGPRTase	hypoxanthine phosphoribosyltransferase	Purines, pyrimidines, nucleosides, and nucleotides	150
TIGR01204	bioW	6-carboxyhexanoate--CoA ligase	Biosynthesis of cofactors, prosthetic groups, and carriers	193.55
TIGR01205	D_ala_D_alaTIGR	D-alanine--D-alanine ligase	Cell envelope	245.65
TIGR01206	lysW	lysine biosynthesis protein LysW	Amino acid biosynthesis	53.2
TIGR01207	rmlA	glucose-1-phosphate thymidylyltransferase	Cell envelope	360.65
TIGR01208	rmlA_long	glucose-1-phosphate thymidylyltransferase	Other	320.25
TIGR01209	TIGR01209	RNA ligase, Pab1020 family	Transcription	136.9
TIGR01210	TIGR01210	radical SAM enzyme, TIGR01210 family	Hypothetical proteins	212.15
TIGR01211	ELP3	radical SAM enzyme/protein acetyltransferase, ELP3 family	Transcription	350
TIGR01212	TIGR01212	radical SAM protein, TIGR01212 family	Unknown function	180
TIGR01213	pseudo_Pus10arc	tRNA pseudouridine(54/55) synthase	Hypothetical proteins	239.55
TIGR01214	rmlD	dTDP-4-dehydrorhamnose reductase	Cell envelope	224.05
TIGR01215	minE	cell division topological specificity factor MinE	Cellular processes	49.3
TIGR01216	ATP_synt_epsi	ATP synthase F1, epsilon subunit	Energy metabolism	67.25
TIGR01217	ac_ac_CoA_syn	acetoacetate-CoA ligase	Central intermediary metabolism	520.9
TIGR01218	Gpos_tandem_5TM	tandem five-TM protein	Other	35
TIGR01219	Pmev_kin_ERG8	phosphomevalonate kinase	Central intermediary metabolism	376.95
TIGR01220	Pmev_kin_Gr_pos	phosphomevalonate kinase	Central intermediary metabolism	165.7
TIGR01221	rmlC	dTDP-4-dehydrorhamnose 3,5-epimerase	Cell envelope	155.75
TIGR01222	minC	septum site-determining protein MinC	Cellular processes	95.25
TIGR01223	Pmev_kin_anim	phosphomevalonate kinase	Central intermediary metabolism	188.15
TIGR01224	hutI	imidazolonepropionase	Energy metabolism	298.15
TIGR01225	hutH	histidine ammonia-lyase	Energy metabolism	539.15
TIGR01226	phe_am_lyase	phenylalanine ammonia-lyase	Other	519.15
TIGR01227	hutG	formimidoylglutamase	Energy metabolism	229.15
TIGR01228	hutU	urocanate hydratase	Energy metabolism	422.2
TIGR01229	rocF_arginase	arginase	Other	227.6
TIGR01230	agmatinase	agmatinase	Other	174.3
TIGR01231	lacC	tagatose-6-phosphate kinase	Energy metabolism	409.55
TIGR01232	lacD	tagatose 1,6-diphosphate aldolase	Energy metabolism	432.2
TIGR01233	lacG	6-phospho-beta-galactosidase	Energy metabolism	561.2
TIGR01234	L-ribulokinase	ribulokinase	Energy metabolism	583.25
TIGR01235	pyruv_carbox	pyruvate carboxylase	Energy metabolism	1114.45
TIGR01236	D1pyr5carbox1	1-pyrroline-5-carboxylate dehydrogenase	Energy metabolism	613.6
TIGR01237	D1pyr5carbox2	putative delta-1-pyrroline-5-carboxylate dehydrogenase	Energy metabolism	659.65
TIGR01238	D1pyr5carbox3	delta-1-pyrroline-5-carboxylate dehydrogenase	Energy metabolism	485.2
TIGR01239	galT_2	galactose-1-phosphate uridylyltransferase	Energy metabolism	650.15
TIGR01240	mevDPdecarb	diphosphomevalonate decarboxylase	Central intermediary metabolism	171.35
TIGR01241	FtsH_fam	ATP-dependent metallopeptidase HflB	Protein fate	468.2
TIGR01242	26Sp45	26S proteasome subunit P45 family	Other	343.6
TIGR01243	CDC48	AAA family ATPase, CDC48 subfamily	Other	802.65
TIGR01244	TIGR01244	TIGR01244 family protein	Hypothetical proteins	85.85
TIGR01245	trpD	anthranilate phosphoribosyltransferase	Amino acid biosynthesis	199.05
TIGR01246	dapE_proteo	succinyl-diaminopimelate desuccinylase	Amino acid biosynthesis	361.8
TIGR01247	drrB	daunorubicin resistance ABC transporter membrane protein	Transport and binding proteins	223.05
TIGR01248	drrC	daunorubicin resistance protein C	Unclassified	165.65
TIGR01249	pro_imino_pep_1	prolyl aminopeptidase	Other	259.75
TIGR01250	pro_imino_pep_2	proline-specific peptidase	Other	167.65
TIGR01251	ribP_PPkin	ribose-phosphate diphosphokinase	Purines, pyrimidines, nucleosides, and nucleotides	113
TIGR01252	acetolac_decarb	alpha-acetolactate decarboxylase	Energy metabolism	180.65
TIGR01253	thiP	thiamine/thiamine pyrophosphate ABC transporter, permease protein	Transport and binding proteins	395.1
TIGR01254	sfuA	ABC transporter periplasmic binding protein, thiB subfamily	Transport and binding proteins	93.4
TIGR01255	pyr_form_ly_1	formate acetyltransferase	Energy metabolism	994.2
TIGR01256	modA	molybdate ABC transporter, periplasmic molybdate-binding protein	Transport and binding proteins	62.5
TIGR01257	rim_protein	rim ABC transporter	Transport and binding proteins	4012.85
TIGR01258	pgm_1	phosphoglycerate mutase 1 family	Other	81.7
TIGR01259	comE	comEA protein	Cellular processes	152.35
TIGR01260	ATP_synt_c	ATP synthase F0, C subunit	Energy metabolism	43.95
TIGR01261	hisB_Nterm	histidinol-phosphatase	Amino acid biosynthesis	140
TIGR01262	maiA	maleylacetoacetate isomerase	Energy metabolism	171.05
TIGR01263	4HPPD	4-hydroxyphenylpyruvate dioxygenase	Energy metabolism	277
TIGR01264	tyr_amTase_E	tyrosine aminotransferase	Energy metabolism	474.25
TIGR01265	tyr_nico_aTase	tyrosine/nicotianamine family aminotransferase	Other	292.45
TIGR01266	fum_ac_acetase	fumarylacetoacetase	Energy metabolism	375.3
TIGR01267	Phe4hydrox_mono	phenylalanine-4-hydroxylase	Energy metabolism	264.75
TIGR01268	Phe4hydrox_tetr	phenylalanine-4-hydroxylase	Other	704.8
TIGR01269	Tyr_3_monoox	tyrosine 3-monooxygenase	Other	654.65
TIGR01270	Trp_5_monoox	tryptophan 5-monooxygenase	Energy metabolism	705.5
TIGR01271	CFTR_protein	cystic fibrosis transmembrane conductor regulator (CFTR)	Transport and binding proteins	1761.2
TIGR01272	gluP	glucose/galactose transporter WARNING	Transport and binding proteins	202.55
TIGR01273	speA	arginine decarboxylase	Central intermediary metabolism	624.1
TIGR01274	ACC_deam	1-aminocyclopropane-1-carboxylate deaminase	Central intermediary metabolism	392
TIGR01275	ACC_deam_rel	pyridoxal phosphate-dependent enzymes, D-cysteine desulfhydrase family	Other	289.4
TIGR01276	thiB	thiamin/thiamin pyrophosphate ABC transporter, thiamin/thiamin pyrophospate-binding protein	Transport and binding proteins	317.15
TIGR01277	thiQ	thiamine ABC transporter, ATP-binding protein	Transport and binding proteins	245.05
TIGR01278	DPOR_BchB	light-independent protochlorophyllide reductase, B subunit	Biosynthesis of cofactors, prosthetic groups, and carriers	490.35
TIGR01279	DPOR_bchN	light-independent protochlorophyllide reductase, N subunit	Biosynthesis of cofactors, prosthetic groups, and carriers	419.95
TIGR01280	xseB	exodeoxyribonuclease VII, small subunit	DNA metabolism	35
TIGR01281	DPOR_bchL	light-independent protochlorophyllide reductase, iron-sulfur ATP-binding protein	Biosynthesis of cofactors, prosthetic groups, and carriers	345.15
TIGR01282	nifD	nitrogenase molybdenum-iron protein alpha chain	Central intermediary metabolism	653.55
TIGR01283	nifE	nitrogenase MoFe cofactor biosynthesis protein NifE	Central intermediary metabolism	505.1
TIGR01284	alt_nitrog_alph	nitrogenase alpha chain	Central intermediary metabolism	512.8
TIGR01285	nifN	nitrogenase molybdenum-iron cofactor biosynthesis protein NifN	Central intermediary metabolism	326.8
TIGR01286	nifK	nitrogenase molybdenum-iron protein beta chain	Central intermediary metabolism	427.3
TIGR01287	nifH	nitrogenase iron protein	Central intermediary metabolism	394.35
TIGR01288	nodI	nodulation ABC transporter NodI	Transport and binding proteins	424
TIGR01289	LPOR	light-dependent protochlorophyllide reductase	Biosynthesis of cofactors, prosthetic groups, and carriers	331.35
TIGR01290	nifB	nitrogenase cofactor biosynthesis protein NifB	Central intermediary metabolism	343.65
TIGR01291	nodJ	ABC-2 type transporter, NodJ family	Transport and binding proteins	206.65
TIGR01292	TRX_reduct	thioredoxin-disulfide reductase	Energy metabolism	343.45
TIGR01293	Kv_beta	voltage-dependent potassium channel beta subunit	Other	365.4
TIGR01294	P_lamban	phospholamban	Other	72.85
TIGR01295	PedC_BrcD	putative bacteriocin transport accessory protein	Other	92.9
TIGR01296	asd_B	aspartate-semialdehyde dehydrogenase	Amino acid biosynthesis	324.2
TIGR01297	CDF	cation diffusion facilitator family transporter	Transport and binding proteins	82.35
TIGR01298	RNaseT	ribonuclease T	Transcription	246.2
TIGR01299	synapt_SV2	synaptic vesicle protein SV2	Other	637.3
TIGR01300	CPA3_mnhG_phaG	monovalent cation/proton antiporter, MnhG/PhaG subunit	Transport and binding proteins	63.1
TIGR01301	GPH_sucrose	sucrose/H+ symporter	Other	511
TIGR01302	IMP_dehydrog	inosine-5'-monophosphate dehydrogenase	Purines, pyrimidines, nucleosides, and nucleotides	481.5
TIGR01303	IMP_DH_rel_1	IMP dehydrogenase family protein	Unknown function	562.75
TIGR01304	IMP_DH_rel_2	IMP dehydrogenase family protein	Unknown function	342.1
TIGR01305	GMP_reduct_1	guanosine monophosphate reductase	Purines, pyrimidines, nucleosides, and nucleotides	492.15
TIGR01306	GMP_reduct_2	guanosine monophosphate reductase	Purines, pyrimidines, nucleosides, and nucleotides	465.65
TIGR01307	pgm_bpd_ind	phosphoglycerate mutase (2,3-diphosphoglycerate-independent)	Energy metabolism	330.65
TIGR01308	rpmD_bact	ribosomal protein uL30	Protein synthesis	44.65
TIGR01309	uL30_arch	ribosomal protein uL30	Protein synthesis	150.05
TIGR01310	uL30_euk	60S ribosomal protein uL30	Other	254
TIGR01311	glycerol_kin	glycerol kinase	Energy metabolism	590.35
TIGR01312	XylB	xylulokinase	Energy metabolism	380.25
TIGR01313	therm_gnt_kin	carbohydrate kinase, thermoresistant glucokinase family	Other	113.75
TIGR01314	gntK_FGGY	gluconate kinase	Energy metabolism	648.55
TIGR01315	5C_CHO_kinase	FGGY-family pentulose kinase	Other	408.7
TIGR01316	gltA	glutamate synthase (NADPH), homotetrameric	Amino acid biosynthesis	471.75
TIGR01317	GOGAT_sm_gam	glutamate synthase, NADH/NADPH, small subunit	Other	447.7
TIGR01318	gltD_gamma_fam	glutamate synthase, small subunit	Other	482.95
TIGR01319	glmL_fam	conserved hypothetical protein	Other	204.05
TIGR01320	mal_quin_oxido	malate dehydrogenase (acceptor)	Energy metabolism	549.95
TIGR01321	TrpR	trp operon repressor	Regulatory functions	67.25
TIGR01322	scrB_fam	sucrose-6-phosphate hydrolase	Energy metabolism	356.4
TIGR01323	nitrile_alph	nitrile hydratase, alpha subunit	Energy metabolism	249.85
TIGR01324	cysta_beta_ly_B	cystathionine beta-lyase	Amino acid biosynthesis	365.9
TIGR01325	O_suc_HS_sulf	O-succinylhomoserine sulfhydrylase	Amino acid biosynthesis	510.05
TIGR01326	OAH_OAS_sulfhy	O-acetylhomoserine aminocarboxypropyltransferase/cysteine synthase	Amino acid biosynthesis	495.1
TIGR01327	PGDH	phosphoglycerate dehydrogenase	Amino acid biosynthesis	454
TIGR01328	met_gam_lyase	methionine gamma-lyase	Energy metabolism	549.7
TIGR01329	cysta_beta_ly_E	cystathionine beta-lyase	Other	487.5
TIGR01330	bisphos_HAL2	3'(2'),5'-bisphosphate nucleotidase	Other	267.05
TIGR01331	bisphos_cysQ	3'(2'),5'-bisphosphate nucleotidase	Central intermediary metabolism	228.8
TIGR01332	cyt_b559_alpha	cytochrome b559, alpha subunit	Energy metabolism	93.95
TIGR01333	cyt_b559_beta	cytochrome b559, beta subunit	Energy metabolism	61.15
TIGR01334	modD	modD protein	Unknown function	178.85
TIGR01335	psaA	photosystem I core protein PsaA	Energy metabolism	862.55
TIGR01336	psaB	photosystem I core protein PsaB	Energy metabolism	921.65
TIGR01337	apcB	allophycocyanin, beta subunit	Energy metabolism	228.15
TIGR01338	phycocy_alpha	phycocyanin, alpha subunit	Energy metabolism	269.45
TIGR01339	phycocy_beta	phycocyanin, beta subunit	Energy metabolism	279.3
TIGR01340	aconitase_mito	aconitate hydratase, mitochondrial	Energy metabolism	825.35
TIGR01341	aconitase_1	aconitate hydratase 1	Energy metabolism	945
TIGR01342	acon_putative	putative aconitate hydratase	Energy metabolism	719.15
TIGR01343	hacA_fam	homoaconitate hydratase family protein	Other	385.7
TIGR01344	malate_syn_A	malate synthase A	Energy metabolism	594.5
TIGR01345	malate_syn_G	malate synthase G	Energy metabolism	989.15
TIGR01346	isocit_lyase	isocitrate lyase	Energy metabolism	275.9
TIGR01347	sucB	dihydrolipoyllysine-residue succinyltransferase, E2 component of oxoglutarate dehydrogenase (succinyl-transferring) complex	Energy metabolism	378.65
TIGR01348	PDHac_trf_long	dihydrolipoyllysine-residue acetyltransferase	Energy metabolism	552.1
TIGR01349	PDHac_trf_mito	pyruvate dehydrogenase complex dihydrolipoamide acetyltransferase	Energy metabolism	445
TIGR01350	lipoamide_DH	dihydrolipoyl dehydrogenase	Other	408.8
TIGR01351	adk	adenylate kinase	Purines, pyrimidines, nucleosides, and nucleotides	168
TIGR01352	tonB_Cterm	TonB family C-terminal domain	Transport and binding proteins	27.1
TIGR01353	dGTP_triPase	putative dGTPase	Purines, pyrimidines, nucleosides, and nucleotides	152.35
TIGR01354	cyt_deam_tetra	cytidine deaminase	Purines, pyrimidines, nucleosides, and nucleotides	113.65
TIGR01355	cyt_deam_dimer	cytidine deaminase	Purines, pyrimidines, nucleosides, and nucleotides	275
TIGR01356	aroA	3-phosphoshikimate 1-carboxyvinyltransferase	Amino acid biosynthesis	287.25
TIGR01357	aroB	3-dehydroquinate synthase	Amino acid biosynthesis	305
TIGR01358	DAHP_synth_II	3-deoxy-7-phosphoheptulonate synthase	Amino acid biosynthesis	614.7
TIGR01359	UMP_CMP_kin_fam	UMP-CMP kinase family	Other	207.6
TIGR01360	aden_kin_iso1	adenylate kinase	Other	284.1
TIGR01361	DAHP_synth_Bsub	3-deoxy-7-phosphoheptulonate synthase	Amino acid biosynthesis	267.75
TIGR01362	KDO8P_synth	3-deoxy-8-phosphooctulonate synthase	Cell envelope	314
TIGR01363	strep_his_triad	streptococcal histidine triad protein	Cellular processes	33
TIGR01364	serC_1	phosphoserine transaminase	Amino acid biosynthesis	443.6
TIGR01365	serC_2	phosphoserine aminotransferase	Amino acid biosynthesis	448.2
TIGR01366	serC_3	putative phosphoserine aminotransferase	Amino acid biosynthesis	401.65
TIGR01367	pyrE_Therm	orotate phosphoribosyltransferase	Purines, pyrimidines, nucleosides, and nucleotides	150.25
TIGR01368	CPSaseIIsmall	carbamoyl-phosphate synthase, small subunit	Purines, pyrimidines, nucleosides, and nucleotides	307.35
TIGR01369	CPSaseII_lrg	carbamoyl-phosphate synthase, large subunit	Purines, pyrimidines, nucleosides, and nucleotides	1027
TIGR01370	TIGR01370	extracellular protein	Unknown function	181.25
TIGR01371	met_syn_B12ind	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase	Amino acid biosynthesis	929.95
TIGR01372	soxA	sarcosine oxidase, alpha subunit family	Energy metabolism	1164
TIGR01373	soxB	sarcosine oxidase, beta subunit family	Energy metabolism	529.45
TIGR01374	soxD	sarcosine oxidase, delta subunit family	Energy metabolism	116.5
TIGR01375	soxG	sarcosine oxidase, gamma subunit family	Energy metabolism	143.95
TIGR01376	POMP_repeat	chlamydial polymorphic outer membrane protein repeat	Other	15
TIGR01377	soxA_mon	sarcosine oxidase, monomeric form	Energy metabolism	479.65
TIGR01378	thi_PPkinase	thiamine pyrophosphokinase	Biosynthesis of cofactors, prosthetic groups, and carriers	76.4
TIGR01379	thiL	thiamine-phosphate kinase	Biosynthesis of cofactors, prosthetic groups, and carriers	184.15
TIGR01380	glut_syn	glutathione synthase	Biosynthesis of cofactors, prosthetic groups, and carriers	299.05
TIGR01381	E1_like_apg7	E1-like protein-activating enzyme Gsa7p/Apg7p	Other	571.35
TIGR01382	PfpI	intracellular protease, PfpI family	Protein fate	139.05
TIGR01383	not_thiJ	DJ-1 family protein	Unknown function	131.25
TIGR01384	TFS_arch	transcription factor S	Transcription	64.75
TIGR01385	TFSII	transcription elongation factor S-II	Other	237.1
TIGR01386	cztS_silS_copS	heavy metal sensor kinase	Other	292.55
TIGR01387	cztR_silR_copR	heavy metal response regulator	Regulatory functions	279.2
TIGR01388	rnd	ribonuclease D	Transcription	298.95
TIGR01389	recQ	ATP-dependent DNA helicase RecQ	DNA metabolism	640.2
TIGR01390	CycNucDiestase	2',3'-cyclic-nucleotide 2'-phosphodiesterase	Purines, pyrimidines, nucleosides, and nucleotides	883
TIGR01391	dnaG	DNA primase	DNA metabolism	283.6
TIGR01392	homoserO_Ac_trn	homoserine O-acetyltransferase	Amino acid biosynthesis	276.85
TIGR01393	lepA	elongation factor 4	Unknown function	533.9
TIGR01394	TypA_BipA	GTP-binding protein TypA/BipA	Regulatory functions	757.3
TIGR01395	FlgC	flagellar basal-body rod protein FlgC	Cellular processes	102.1
TIGR01396	FlgB	flagellar basal-body rod protein FlgB	Cellular processes	59.05
TIGR01397	fliM_switch	flagellar motor switch protein FliM	Cellular processes	219.6
TIGR01398	FlhA	flagellar biosynthesis protein FlhA	Cellular processes	772.1
TIGR01399	hrcV	type III secretion protein, HrcV family	Protein fate	692.25
TIGR01400	fliR	flagellar biosynthetic protein FliR	Cellular processes	168.6
TIGR01401	fliR_like_III	type III secretion apparatus protein SpaR/YscT/HrcT	Protein fate	163.05
TIGR01402	fliQ	flagellar biosynthetic protein FliQ	Cellular processes	88.9
TIGR01403	fliQ_rel_III	type III secretion protein, HrpO family	Protein fate	76.5
TIGR01404	FlhB_rel_III	type III secretion protein, YscU/HrpY family	Protein fate	326.8
TIGR01405	polC_Gram_pos	DNA polymerase III, alpha subunit, Gram-positive type	DNA metabolism	1043.45
TIGR01406	dnaQ_proteo	DNA polymerase III, epsilon subunit	DNA metabolism	222.7
TIGR01407	dinG_rel	putative DnaQ family exonuclease/DinG family helicase	DNA metabolism	547.7
TIGR01408	Ube1	ubiquitin-activating enzyme E1	Other	750.05
TIGR01409	TAT_signal_seq	Tat (twin-arginine translocation) pathway signal sequence	Protein fate	16.7
TIGR01410	tatB	twin arginine-targeting protein translocase TatB	Protein fate	56.5
TIGR01411	tatAE	twin arginine-targeting protein translocase, TatA/E family	Protein fate	53.9
TIGR01412	tat_substr_1	Tat-translocated enzyme	Other	428
TIGR01413	Dyp_perox_fam	Dyp-type peroxidase family	Other	100.5
TIGR01414	autotrans_barl	outer membrane autotransporter barrel domain	Protein fate	16
TIGR01415	trpB_rel	pyridoxal-phosphate dependent TrpB-like enzyme	Unknown function	518.85
TIGR01416	Rieske_proteo	ubiquinol-cytochrome c reductase, iron-sulfur subunit	Energy metabolism	97.4
TIGR01417	PTS_I_fam	phosphoenolpyruvate-protein phosphotransferase	Other	341.7
TIGR01418	PEP_synth	phosphoenolpyruvate synthase	Energy metabolism	739.75
TIGR01419	nitro_reg_IIA	PTS IIA-like nitrogen-regulatory protein PtsN	Signal transduction	138.7
TIGR01420	pilT_fam	twitching motility protein	Cellular processes	319.1
TIGR01421	gluta_reduc_1	glutathione-disulfide reductase	Energy metabolism	556.15
TIGR01422	phosphonatase	phosphonoacetaldehyde hydrolase	Central intermediary metabolism	221.2
TIGR01423	trypano_reduc	trypanothione-disulfide reductase	Other	738.1
TIGR01424	gluta_reduc_2	glutathione-disulfide reductase	Energy metabolism	606.05
TIGR01425	SRP54_euk	signal recognition particle protein SRP54	Other	576.25
TIGR01426	MGT	glycosyltransferase, MGT family	Cellular processes	109.35
TIGR01427	PTS_IIC_fructo	PTS system, Fru family, IIC component	Other	157.55
TIGR01428	HAD_type_II	haloacid dehalogenase, type II	Other	125.4
TIGR01429	AMP_deaminase	AMP deaminase	Other	726.3
TIGR01430	aden_deam	adenosine deaminase	Other	216.55
TIGR01431	adm_rel	adenosine deaminase-related growth factor	Other	315
TIGR01432	QOXA	cytochrome aa3 quinol oxidase, subunit II	Energy metabolism	240.95
TIGR01433	CyoA	ubiquinol oxidase, subunit II	Energy metabolism	266.2
TIGR01434	glu_cys_ligase	glutamate--cysteine ligase	Biosynthesis of cofactors, prosthetic groups, and carriers	393.3
TIGR01435	glu_cys_lig_rel	glutamate--cysteine ligase/glutathione synthase	Biosynthesis of cofactors, prosthetic groups, and carriers	656
TIGR01436	glu_cys_lig_pln	glutamate--cysteine ligase	Biosynthesis of cofactors, prosthetic groups, and carriers	463.15
TIGR01437	selA_rel	uncharacterized pyridoxal phosphate-dependent enzyme	Unknown function	385.3
TIGR01438	TGR	thioredoxin and glutathione reductase	Other	475.85
TIGR01439	lp_hng_hel_AbrB	transcriptional regulator, AbrB family	Regulatory functions	28.3
TIGR01440	TIGR01440	TIGR01440 family protein	Hypothetical proteins	145.3
TIGR01441	GPR	GPR endopeptidase	Protein fate	238
TIGR01442	SASP_gamma	small, acid-soluble spore protein, gamma-type	Cellular processes	30.65
TIGR01443	intein_Cterm	intein C-terminal splicing region	Other	15.6
TIGR01444	fkbM_fam	methyltransferase, FkbM family	Other	37.7
TIGR01445	intein_Nterm	intein N-terminal splicing region	Other	24.5
TIGR01446	DnaD_dom	DnaD domain protein	Mobile and extrachromosomal element functions	24.95
TIGR01447	recD	exodeoxyribonuclease V, alpha subunit	DNA metabolism	310.15
TIGR01448	recD_rel	helicase, RecD/TraA family	Unknown function	539.2
TIGR01449	PGP_bact	phosphoglycolate phosphatase, bacterial	Energy metabolism	164.6
TIGR01450	recC	exodeoxyribonuclease V, gamma subunit	DNA metabolism	582.9
TIGR01451	B_ant_repeat	conserved repeat domain	Other	16.6
TIGR01452	PGP_euk	phosphoglycolate/pyridoxal phosphate phosphatase family	Other	201.95
TIGR01453	grpIintron_endo	group I intron endonuclease	Other	56.05
TIGR01454	AHBA_synth_RP	AHBA synthesis associated protein	Other	246.65
TIGR01455	glmM	phosphoglucosamine mutase	Central intermediary metabolism	447.55
TIGR01456	CECR5	HAD hydrolase, TIGR01456 family	Other	139.25
TIGR01457	HAD-SF-IIA-hyp2	HAD hydrolase, TIGR01457 family	Unknown function	247.65
TIGR01458	HAD-SF-IIA-hyp3	HAD hydrolase, TIGR01458 family	Unknown function	175.95
TIGR01459	HAD-SF-IIA-hyp4	HAD hydrolase, TIGR01459 family	Other	103.75
TIGR01460	HAD-SF-IIA	HAD hydrolase, family IIA	Unknown function	100.15
TIGR01461	greB	transcription elongation factor GreB	Transcription	171.05
TIGR01462	greA	transcription elongation factor GreA	Transcription	139
TIGR01463	mtaA_cmuA	methyltransferase, MtaA/CmuA family	Other	235.4
TIGR01464	hemE	uroporphyrinogen decarboxylase	Biosynthesis of cofactors, prosthetic groups, and carriers	302.95
TIGR01465	cobM_cbiF	precorrin-4 C11-methyltransferase	Biosynthesis of cofactors, prosthetic groups, and carriers	259.65
TIGR01466	cobJ_cbiH	precorrin-3B C17-methyltransferase	Biosynthesis of cofactors, prosthetic groups, and carriers	246.35
TIGR01467	cobI_cbiL	precorrin-2 C(20)-methyltransferase	Biosynthesis of cofactors, prosthetic groups, and carriers	163.25
TIGR01469	cobA_cysG_Cterm	uroporphyrinogen-III C-methyltransferase	Biosynthesis of cofactors, prosthetic groups, and carriers	185
TIGR01470	cysG_Nterm	siroheme synthase, N-terminal domain	Biosynthesis of cofactors, prosthetic groups, and carriers	62.3
TIGR01472	gmd	GDP-mannose 4,6-dehydratase	Cell envelope	415
TIGR01473	cyoE_ctaB	protoheme IX farnesyltransferase	Biosynthesis of cofactors, prosthetic groups, and carriers	210.3
TIGR01474	ubiA_proteo	4-hydroxybenzoate polyprenyl transferase	Biosynthesis of cofactors, prosthetic groups, and carriers	275.45
TIGR01475	ubiA_other	putative 4-hydroxybenzoate polyprenyltransferase	Biosynthesis of cofactors, prosthetic groups, and carriers	180.8
TIGR01476	chlor_syn_BchG	bacteriochlorophyll/chlorophyll synthetase	Biosynthesis of cofactors, prosthetic groups, and carriers	212.3
TIGR01477	RIFIN	variant surface antigen, rifin family	Other	176.95
TIGR01478	STEVOR	variant surface antigen, stevor family	Other	166.65
TIGR01479	GMP_PMI	mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase	Cell envelope	372.95
TIGR01480	copper_res_A	copper-resistance protein, CopA family	Transport and binding proteins	478.95
TIGR01481	ccpA	catabolite control protein A	Regulatory functions	442.35
TIGR01482	SPP-subfamily	sucrose-phosphate phosphatase subfamily	Other	107.15
TIGR01484	HAD-SF-IIB	HAD hydrolase, family IIB	Unknown function	41.8
TIGR01485	SPP_plant-cyano	sucrose phosphatase	Other	183.65
TIGR01486	HAD-SF-IIB-MPGP	mannosyl-3-phosphoglycerate phosphatase family	Other	164.75
TIGR01487	Pglycolate_arch	phosphoglycolate phosphatase, TA0175-type	Other	122.75
